AGENCY_NAME;NIGP_DESCRIPTION;PO_TOTAL_AMOUNT;ORDER_DATE;SUPPLIER;SUPPLIER_CITY;SUPPLIER_STATE
OFFICE OF CHIEF TECHNOLOGY OFFICER;FIBER OPTICS CABLES, INTERCONNECTING COMPONENTS, AND ACCESSORIES 23;$22503.60;06/29/2011;PAIGE INTERNATIONAL;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;NETWORK COMPONENTS: ADAPTER CARDS, BRIDGES, CONNECTORS, EXPANSION MODULES/PORTS, FIREWALL DEVICES, HUBS, LINE DRIVERS, MSAUS, ROUTERS, TRANSCEIVERS, ETC. 64;$20045.20;06/29/2011;PAIGE INTERNATIONAL;WASHINGTON  ;DC
DISABILITY COMPENSATION FUND;INSURANCE CONSULTING 69;$120492.23;06/29/2011;FRIDAY SYSTEMS SERVICES, INC.;GREENBELT  ;MD
STATE SUPERINTENDENT OF EDUCATION (OSSE);YOUTH CARE SERVICES 95;$185495.10;06/29/2011;ASSOC FOR RENEWAL IN EDUCATION;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18;$6979.39;06/29/2011;INTAC INC;SILVER SPRING  ;MD
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$17774.40;06/29/2011;PREFERRED TEMP SERVICES;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;MEMBERSHIP DUES 48;$55361.24;06/29/2011;UNIV. MARYLAND FOUNDATION INC.;ADELPHI  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54;$4311.60;06/29/2011;MVS, INC.;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;ENGINEERING SUPPLIES, MISCELLANEOUS 42;$29154.21;06/29/2011;MVS, INC.;WASHINGTON  ;DC
OFFICE OF ADMINISTRATIVE HEARINGS;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$14278.78;06/29/2011;MVS, INC.;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATIONAL RESEARCH SERVICES 19;$5185.00;06/29/2011;NATIONAL STUDENT CLEARINGHOUSE;HERNDON  ;VA
DEPT. OF CONSUMER AND REGULATORY AFFAIRS;APPLICATIONS SOFTWARE (FOR MAIN FRAME SYSTEMS) 04;$110000.00;06/29/2011;AVOLVE SOFTWARE CORP;SCOTTSDALE  ;AZ
DISTRICT DEPARTMENT OF THE ENVIRONMENT;WEB PAGE DESIGN AND/OR MANAGEMENT SERVICES 96;$3500.00;06/29/2011;WEIL COMMUNICATIONS & MARKETIN;ROCKVILLE  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18;$2983.90;06/29/2011;PEARSON AGS GLOBE DBA PEARSON;SHOREVIEW  ;MN
OFFICE OF MUNICIPAL PLANNING;PLANNING, URBAN (COMMUNITY, REGIONAL, AREAWIDE, AND STATE) 64;$109581.60;06/29/2011;PARTNERS FOR ECONOMIC SOLUTION;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;EXCAVATION SERVICES 44;$100000.00;06/29/2011;LORENZ LAWN AND LANDSCAPE, INC.;BALTIMORE  ;MD
DEPARTMENT OF HEALTH;COMPUTER AIDED DESIGN SERVICES 18;$349080.55;06/29/2011;COLLABORATIVE FUSION, INC.;PITTSBURGH  ;PA
DEPARTMENT OF PARKS AND RECREATION;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$46000.00;06/29/2011;DISTRICT SUPPLY INC.;WASHINGTON  ;DC
PUBLIC EMPLOYEE RELATIONS BOARD;LEGAL SERVICES, ATTORNEYS 49;$14400.00;06/29/2011;LOIS HOCHHAUSER;WASHINGTON  ;DC
DISTRICT OF COLUMBIA RETIREMENT BOARD;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$5452.50;06/29/2011;NGEN LLC;LARGO  ;MD
DEPARTMENT OF HUMAN SERVICES;PROGRAMMING: BASIC, ASSEMBLER, COMPUTER ASSISTED SOFTWARE ENGINEERING TOOLS (CASE), LIBRARIES, ETC. 67;$4828.06;06/29/2011;INTERNATIONAL BUSINESS MACHINE;ATLANTA  ;GA
HOMELAND SECURITY GRANTS;TRAINING, COMPUTER BASED (SOFTWARE SUPPORTED) 91;$12650.00;06/29/2011;KNOWLOGY CORPORATION;FALLS CHURCH  ;VA
DISTRICT DEPARTMENT OF THE ENVIRONMENT;COPY MACHINE, PLAIN PAPER TYPE (INCLUDING COST-PER-COPY TYPE LEASES) RENTAL OR LEASE 26;$10164.00;06/29/2011;XEROX CORPORATION;ROCHESTER  ;NY
DEPT. OF CONSUMER AND REGULATORY AFFAIRS;ROOM RENTAL FOR CONFERENCES, SEMINARS, ETC. 65;$3300.00;06/29/2011;FLIK INTERNATIONAL;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$31840.00;06/29/2011;CA INC.;ISLANDIA  ;NY
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$4000.00;06/30/2011;WORDS BEATS AND LIFE, INC.;WASHINGTON  ;DC
DEPARTMENT ON DISABILITY SERVICES;TRANSITIONAL LIVING 92;$633916.12;06/30/2011;WOODS SERVICES, INC.;LANGHORNE  ;PA
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$50000.00;06/30/2011;SO OTHERS MIGHT EAT;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;LANDSCAPING (INCLUDING DESIGN, FERTILIZING, PLANTING, ETC., BUT NOT GROUNDS MAINTENANCE OR TREE TRIMMING SERVICES) 52;$39079.17;06/30/2011;LORENZ LAWN AND LANDSCAPE, INC.;BALTIMORE  ;MD
FIRE AND EMERGENCY MEDICAL SERVICES;ENGINES, DIESEL (AUTOMOTIVE) AND REPLACEMENT PARTS 38;$70000.00;06/30/2011;JOHNSON TRUCK CENTER, LLC;LANDOVER  ;MD
COMMISSION ON ARTS & HUMANITIES;ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07;$14455.00;06/30/2011;GRANTANALYST.COM LLC;FORT COLLINS  ;CO
DISTRICT OF COLUMBIA RETIREMENT BOARD;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$100000.00;06/30/2011;MORGAN, LEWIS & BOCKIUS, LLP;PHILADELPHIA  ;PA
OFFICE OF CHIEF FINANCIAL OFFICER;POSTAGE RELATED PURCHASES (INCL. POSTAGE STAMPS, PRE-SORT 1ST CLASS INSCRIPTIONS, POSTAGE BY PHONE FOR METERS, ETC.) 57;$114496.89;06/30/2011;POST MASTER;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SPECIAL EDUCATION 74;$321581.00;06/30/2011;ADVANCEPATH ACADEMICS INC;WILLIAMSBURG  ;VA
DEPARTMENT OF MENTAL HEALTH;MENTAL HEALTH SERVICES: VOCATIONAL, RESIDENTIAL, ETC. 62;$4800.00;06/30/2011;JAMES GRAHAM ATKINSON;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BAGS, SPORTS EQUIPMENT 23;$204840.00;06/30/2011;HOPSPORTS, INC.;VALENCIA  ;CA
DISTRICT DEPARTMENT OF THE ENVIRONMENT;MEASURING INSTRUMENTS, ANALOG AND DIGITAL (FOR CAPACITANCE, CURRENT, FREQUENCY, IMPEDANCE, POWER, RESISTANCE, SOUND LEVEL, VOLTAGE, ETC.) 54;$7850.00;06/30/2011;WELLIGENT, INC.;NORFORK  ;VA
DISTRICT OF COLUMBIA RETIREMENT BOARD;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$100000.00;06/30/2011;SAPPHIRE TECHNOLOGIES, LP;WAKEFIELD  ;MA
DEPARTMENT ON DISABILITY SERVICES;TRANSITIONAL LIVING 92;$9150.00;06/30/2011;INNISFREE INCORPORATED;CROZET  ;VA
COUNCIL OF THE DISTRICT OF COLUMBIA;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$144625.00;06/30/2011;BLUE STATE DIGITAL, INC;WASHINGTON  ;DC
DISTRICT OF COLUMBIA RETIREMENT BOARD;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$97720.00;06/30/2011;TONY V. PHAN;CHANTILLY  ;VA
STATE SUPERINTENDENT OF EDUCATION (OSSE);DATABASE SOFTWARE 37;$8861.57;06/30/2011;BAMBOO SOLUTIONS CORPORATION;RESTON  ;VA
OFFICE OF CHIEF TECHNOLOGY OFFICER;TELECOMMUNICATIONS CONSULTING 95;$504951.99;06/30/2011;SAIC, INC.;MCLEAN  ;VA
DEPARTMENT OF EMPLOYMENT SERVICES;COMPUTER SOFTWARE CONSULTING 29;$62442.00;06/30/2011;GEOGRAPHIC SOLUTIONS INC;PALM HARBOUR  ;FL
DEPARTMENT OF CORRECTIONS;GLOVES: LATEX, PLASTIC, PVC, POLY, SYNTHETIC, VINYL, ETC. (ALL TYPES) 42;$4125.00;06/30/2011;THE HAMILTON GROUP;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54;$11943.70;06/30/2011;DELL COMPUTER CORP.;ROUND ROCK  ;TX
OFFICE OF ADMINISTRATIVE HEARINGS;MICROCOMPUTERS, DESKTOP OR TOWERBASED 53;$16832.13;06/30/2011;DELL COMPUTER CORP.;ROUND ROCK  ;TX
DISTRICT OF COLUMBIA RETIREMENT BOARD;MICROCOMPUTERS, DESKTOP OR TOWERBASED 53;$26159.73;06/30/2011;DELL COMPUTER CORP.;ROUND ROCK  ;TX
DEPARTMENT OF EMPLOYMENT SERVICES;COMPUTERS, PARTS AND SUPPLIES 29;$3837.08;06/30/2011;DELL COMPUTER CORP.;ROUND ROCK  ;TX
DEPARTMENT OF HEALTH CARE FINANCE;CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32;$942000.00;06/30/2011;XEROX STATE HEALTHCARE, LLC;DALLAS  ;TX
DEPARTMENT OF HEALTH CARE FINANCE;CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32;$369000.00;06/30/2011;XEROX STATE HEALTHCARE, LLC;DALLAS  ;TX
DEPARTMENT OF HEALTH CARE FINANCE;CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32;$1026000.00;06/30/2011;XEROX STATE HEALTHCARE, LLC;DALLAS  ;TX
OFFICE OF CHIEF TECHNOLOGY OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$18597.00;06/30/2011;TRAKA USA LLC;OVIEDO  ;FL
DISTRICT DEPARTMENT OF THE ENVIRONMENT;RECYCLED BAGS AND EROSION CONTROL ITEMS 73;$29700.00;06/30/2011;THE AQUILINE GROUP;WASHINGTON  ;DC
DEPARTMENT OF CORRECTIONS;DETERGENT-DISINFECTANT (WASHROOM TYPE), LIQUID AND AEROSOL 37;$3417.54;06/30/2011;ACUITY DBA/ZEP MANUFACTURING;ATLANTA  ;GA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;FLOOR STRIPPER AND CLEANER 55;$3739.26;06/30/2011;ACUITY DBA/ZEP MANUFACTURING;ATLANTA  ;GA
OFFICE OF THE SECRETARY;MEMBERSHIP DUES 48;$2998.00;06/30/2011;NATIONAL ASSOCIATION OF SECRE-;LEXINGTON  ;KY
METROPOLITAN POLICE DEPARTMENT;GUARD AND SECURITY SERVICES 46;$7039148.23;06/30/2011;SECURITAS SECURITY SVCS. USA;PARSIPPANY  ;NJ
DC PUBLIC LIBRARY;RECORDING DISKS AND SOUND SHEETS (INCLUDING COMPACT AND LASER DISKS) 70;$6110.00;06/30/2011;ARRINGTON GROUP LLC;TULSA  ;OK
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$22349.60;06/30/2011;UNIVERSAL HEALTHCARE MANAGEMENT, INC.;WASHINGTON  ;DC
DEPT. OF CONSUMER AND REGULATORY AFFAIRS;EXAMINATION AND TESTING 20;$19955.00;06/30/2011;NATIONAL COUNCIL OF EXAMINERS;CLEMSON  ;SC
DISTRICT DEPARTMENT OF THE ENVIRONMENT;ENVIRONMENTAL SERVICES (NOT OTHERWISE CLASSIFIED) 42;$24873.12;06/30/2011;ALLIANCE FOR CHESAPEAKE BAY, I;BALTIMORE  ;MD
DEPART OF YOUTH REHABILITATION SERVICES;YOUTH CARE SERVICES 95;$399262.50;06/30/2011;MAGNIFICUS CORPORATION;WASHINGTON  ;DC
METROPOLITAN POLICE DEPARTMENT;FUEL MANAGEMENT SERVICES 50;$77600.00;06/30/2011;TIPTON AIRPORT AUTHORITY;FORT MEADE  ;MD
STATE SUPERINTENDENT OF EDUCATION (OSSE);TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78;$294590.81;06/30/2011;NATIONAL CHILDRENS CENTER;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$83443.20;06/30/2011;FIRST HOME CARE CORPORATION;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$41721.60;06/30/2011;FIRST HOME CARE CORPORATION;WASHINGTON  ;DC
DEPARTMENT OF PARKS AND RECREATION;PARK AREA CONSTRUCTION/RENOVATION 63;$322174.33;06/30/2011;F&L CONSTRUCTION INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER NETWORK CONSULTING 30;$8924.80;06/30/2011;OST, INC.;WASHINGTON  ;DC
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$1967057.00;06/30/2011;DC HOUSING AUTHORITY;WASHINGTON  ;DC
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;BUILDING PERMIT SERVICES 09;$4994.50;06/30/2011;FLACK ATTACK VENTURES;PASADENA  ;MD
DEPARTMENT OF HEALTH;MEDICAL AND LABORATORY SERVICES (NON-PHYSICIAN) 55;$29950.00;06/30/2011;QUEST DIAGNOSTICS NICHOLS INS;CHANTILLY  ;VA
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$268250.00;06/30/2011;MEDSTAR GEORGETOWN MED.CTR.;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;ADMINISTRATION OF CONTRACTS: SUMMARY OF WORK, QUALITY CONTROL, PROJECT CLOSEOUT, ETC. 03;$218874.00;06/30/2011;AMERICAN UNIVERSITY;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$2846.00;06/30/2011;DUSTIN CONSTRUCTION, INC.;IJAMSVILLE  ;MD
METROPOLITAN POLICE DEPARTMENT;TRUCKS, DIESEL (ALL CAPACITIES) 54;$38946.61;06/30/2011;GENERAL SERVICE ADMINISTRATION;KANSAS CITY  ;MD
DISTRICT OF COLUMBIA RETIREMENT BOARD;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$15000.00;06/30/2011;HBP INC;HAGERSTOWN  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CAFETERIA, FOOD SERVICE, AND KITCHEN EQUIPMENT RENTAL OR LEASE 25;$5400.00;06/30/2011;ALLINES INC;GREENBELT  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32;$16128.78;06/30/2011;MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$38400.00;06/30/2011;COMMUNITY CONNECTIONS;WASHINGTON  ;DC
DEPARTMENT OF HUMAN SERVICES;POSTAGE RELATED PURCHASES (INCL. POSTAGE STAMPS, PRE-SORT 1ST CLASS INSCRIPTIONS, POSTAGE BY PHONE FOR METERS, ETC.) 57;$70000.00;06/30/2011;UNITED STATES POSTAL SERVICE;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;POSTAGE STAMP VENDING MACHINES, ACCESSORIES, AND SUPPLIES 81;$8619.00;06/30/2011;UNITED STATES POSTAL SERVICE;WASHINGTON  ;DC
DEPARTMENT OF PARKS AND RECREATION;TICKETS, RESERVED TYPE 70;$4067.75;06/30/2011;NATIONAL AQUARIUM IN BALTIMORE;BALTIMORE  ;MD
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$44000.00;06/30/2011;FUND FOR EDUCATION AND HUMAN SERVICE;WASHINGTON  ;DC
HOMELAND SECURITY GRANTS;HAZARDOUS ENVIRONMENT DETECTION AND MEASURING EQUIPMENT 20;$176491.20;06/30/2011;FEDERAL RESOURCES SUPPLY COMPANY;CHESTER  ;MD
OFFICE OF CHIEF TECHNOLOGY OFFICER;NETWORK COMPONENTS: ADAPTER CARDS, BRIDGES, CONNECTORS, EXPANSION MODULES/PORTS, FIREWALL DEVICES, HUBS, LINE DRIVERS, MSAUS, ROUTERS, TRANSCEIVERS, ETC. 64;$68861.10;06/30/2011;PAIGE INTERNATIONAL;WASHINGTON  ;DC
DEPARTMENT OF CORRECTIONS;FOOD 44;$700000.00;06/30/2011;CENTRIC GRP LLC/KEEFE SUP COMP;ST. LOUIS  ;MO
DEPARTMENT OF HEALTH;ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05;$100000.00;06/30/2011;SAMARITAN INNS INC.;WASHINGTON  ;DC
DISTRICT DEPARTMENT OF THE ENVIRONMENT;ENVIRONMENTAL SERVICES (NOT OTHERWISE CLASSIFIED) 42;$31419.00;06/30/2011;ALICE FERGUSON FOUNDATION;ACCOKEEK  ;MD
DEPARTMENT OF HUMAN SERVICES;EMPLOYMENT GENERATING ACTIVITIES 39;$1025000.00;06/30/2011;UNITED PLANNING ORGANIZATION;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$12005.00;06/30/2011;FORNEY ENTERPRISES, INC.;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$31341.60;06/30/2011;MARYLAND FAMILY RESOURCE;OXON HILL  ;MD
DEPARTMENT OF PARKS AND RECREATION;SPORTS PROFESSIONALS SERVICES (INCLUDING SPORTS AND RECREATIONAL PROGRAMS AND REFEREE/UMPIRE SERVICES) 68;$9450.00;06/30/2011;INDEPENDENT OFFICIALS ASSOC.;BOWIE  ;MD
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$250000.00;06/30/2011;U STREET THEATRE FOUNDATION;WASHINGTON  ;DC
DEPARTMENT OF PARKS AND RECREATION;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$16170.00;06/30/2011;CAPITOL ENTERTAINMENT;WASHINGTON  ;DC
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$80000.00;06/30/2011;LANCE BAILEY & ASSOCIATES INC;SILVER SPRING  ;MD
DEPARTMENT OF CORRECTIONS;MEMBERSHIP DUES 48;$3945.00;06/30/2011;NATIONAL COMM. ON CORRECTIONAL;CHICAGO  ;IL
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$682265.00;06/30/2011;ARC CONSULTANTS LLC;WASHINGTON  ;DC
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;PROJECT MANAGEMENT SERVICES 77;$11129.90;06/30/2011;JONES LANG LASALLE;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;PROJECTION DEVICES AND ACCESSORIES: INTERACTIVE CONFERENCING BOARDS, LCD, PADS, PANELS, ETC. 75;$10887.00;06/30/2011;HI-TECH SOLUTION, INC.;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$109506.78;06/30/2011;DISTRICT DEVELOPMENT GROUP-HAM;ELKRIDGE   ;MD
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$109858.20;7/1/11;DISYS SOLUTIONS, INC.;CHANTILLY  ;VA
FIRE AND EMERGENCY MEDICAL SERVICES;MEDICAL AND DENTAL EQUIPMENT AND SUPPLIES 67;$8568.00;7/1/11;MEDICAL SUPPLY SYSTEMS INC;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;PRINTERS, LASER 77;$3488.00;7/1/11;JTF BUSINESS SYSTEMS;ALEXANDRIA  ;VA
DEPARTMENT OF TRANSPORTATION;PRINTERS, LASER 77;$3488.00;7/1/11;JTF BUSINESS SYSTEMS;ALEXANDRIA  ;VA
DEPARTMENT OF TRANSPORTATION;MAINTENANCE AND REPAIR, UTILITY/UNDERGROUND PROJECTS 89;$3000.00;7/1/11;BAY TOWN PAINTING, INC;BALTIMORE  ;MD
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER HARDWARE CONSULTING 28;$46331.20;7/1/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$149854.52;7/1/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$18710.65;7/1/11;OST, INC.;WASHINGTON  ;DC
HOMELAND SECURITY GRANTS;COMPUTER SOFTWARE CONSULTING 29;$57648.05;7/1/11;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF HUMAN SERVICES;COMPUTER HARDWARE CONSULTING 28;$50000.06;7/1/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$210538.97;7/1/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$4805.76;7/1/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$68000.00;7/1/11;OST, INC.;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$3985.00;7/1/11;UNIVERSITY OF MD UNIV. COLLEGE;ADELPHI  ;MD
HOMELAND SECURITY GRANTS;HAZARDOUS ENVIRONMENT DETECTION AND MEASURING EQUIPMENT 20;$136079.52;7/1/11;LAURUS SYSTEMS, INC.;ELLICOTT CITY   ;MD
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$23820.00;7/1/11;DIGI DOCS INC DOCUMENT MGERS;WASHINGTON  ;DC
METROPOLITAN POLICE DEPARTMENT;MOVING SERVICES 56;$34000.00;7/1/11;BB&B PROFESSIONAL MOVERS;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;ROOM RENTAL FOR CONFERENCES, SEMINARS, ETC. 65;$37000.00;7/1/11;TRINITY COLLEGE OF DC;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;BUILDING CONSTRUCTION, COMMERCIAL AND INSTITUTIONAL 24;$4998.10;7/1/11;INTERIOR DIMENSIONS GROUP, INC;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;LABORATORY SUPPLIES: ASBESTOS SQUARES, CORKS, FILES, GLASS CUTTERS, RING STANDS, STOPCOCK GREASE, TONGS, WIRE GAUZE, ETC. 54;$3162.28;7/1/11;AGILENT TECHNOLOGIES;WILMINGTON  ;DE
DISTRICT DEPARTMENT OF THE ENVIRONMENT;WIPERS, SHOP USE, CELLULOSE AND PAPER 85;$3756.35;7/1/11;HOME DEPOT, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;TELECOMMUNICATIONS CONSULTING 95;$445048.01;7/1/11;SAIC, INC.;MCLEAN  ;VA
HOMELAND SECURITY GRANTS;MASKS, FILTERS, AND PARTS: DUST AND GAS 72;$385320.00;7/1/11;MUNICIPAL EMRGENCY SERVICES;CHARLOTTE  ;NC
DEPARTMENT OF GENERAL SERVICES;COMMUNICATION CONTROL UNITS: CONCENTRATORS, MULTIPLEXORS, COUPLERS, ETC. 21;$17682.50;7/1/11;DELL COMPUTER CORP.;ROUND ROCK  ;TX
DEPARTMENT OF HEALTH;LABORATORY EQUIPMENT 57;$5435.00;7/1/11;MIDWEST INFORMATION SYSTEMS;VILLA PARK  ;IL
CHILD AND FAMILY SERVICES;HEATING, VENTILATING AND AIR CONDITIONING (HVAC) 50;$4000.00;7/1/11;RSC ELECTRICAL & MECHANICAL CO;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;BLOOD CHEMISTRY REAGENTS AND TESTS, NONAUTOMATED (FOR BUN, ENZYMES, GLUCOSE, PROTEINS, TRIGLYCERIDES, ETC.) 14;$14165.00;7/1/11;MATRIX MICROSCIENCE INC.;GOLDEN  ;CO
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$5600.00;7/1/11;CITY SECURITY CONSULTANTS, INC;WASHINGTON  ;DC
CHILD AND FAMILY SERVICES;FORMS PRINTING (NOT CONTINUOUS) 36;$3522.00;7/1/11;LASER ART INC;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);YOUTH CARE SERVICES 95;$23641.82;7/1/11;TWO RIVERS PCS;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78;$3932.92;7/1/11;INTAC INC;SILVER SPRING  ;MD
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$4000.00;7/1/11;ASM EDUCATIONAL CENTER, INC;ROCKVILLE  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CHEMICALS AND SUPPLIES, DRY (FOR BOND PAPER TYPE COPYING MACHINES) 15;$4907.59;7/1/11;METROPOLITAN OFFICE PRODUCTS;WASHINGTON  ;DC
DISTRICT DEPARTMENT OF THE ENVIRONMENT;BOATS AND MARINE EQUIPMENT 17;$14354.02;7/1/11;WASHINGTON MARINA COMPANY;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;ROOM RENTAL FOR CONFERENCES, SEMINARS, ETC. 65;$68300.00;7/1/11;HOWARD UNIVERSITY THE LEARNING ACADEMY;WASHINGTON  ;DC
